evaluation_group,support,positive_examples,negative_examples,precision,recall,f1_score,false_positive_rate,false_negative_rate,mean_performance,mean_error_rate
tatar,300,147,153,0.9865771812080537,1.0,0.9932432432432432,0.013071895424836602,0.0,0.9932734748170989,0.006535947712418301
french,300,141,159,0.9791666666666666,1.0,0.9894736842105263,0.018867924528301886,0.0,0.9895467836257309,0.009433962264150943
russian,300,141,159,1.0,0.9787234042553191,0.989247311827957,0.0,0.02127659574468085,0.9893235720277587,0.010638297872340425
ukrainian,300,141,159,0.9928057553956835,0.9787234042553191,0.9857142857142858,0.006289308176100629,0.02127659574468085,0.9857478151217628,0.01378295196039074
english,300,141,159,0.9857142857142858,0.9787234042553191,0.9822064056939501,0.012578616352201259,0.02127659574468085,0.9822146985545183,0.016927606048441055
german,300,150,150,1.0,0.96,0.9795918367346939,0.0,0.04,0.9798639455782313,0.02
hindi,300,159,141,0.987012987012987,0.9559748427672956,0.9712460063897763,0.014184397163120567,0.0440251572327044,0.971411278723353,0.029104777197912483
spanish,300,159,141,0.9928571428571429,0.8742138364779874,0.9297658862876255,0.0070921985815602835,0.12578616352201258,0.9322789552075852,0.06643918105178644
italian,300,159,141,0.9591836734693877,0.8867924528301887,0.9215686274509803,0.0425531914893617,0.11320754716981132,0.9225149179168523,0.07788036932958652
japanese,300,159,141,0.9714285714285714,0.8553459119496856,0.9096989966555183,0.028368794326241134,0.14465408805031446,0.912157826677925,0.0865114411882778
arabic,300,161,139,0.9921875,0.7888198757763976,0.8788927335640139,0.007194244604316547,0.2111801242236025,0.8866333697801371,0.10918718441395953
hinglish,300,145,155,0.8506493506493507,0.903448275862069,0.8762541806020067,0.14838709677419354,0.09655172413793103,0.8767839357044754,0.12246941045606229
chinese,300,159,141,0.9603174603174603,0.7610062893081762,0.8491228070175438,0.03546099290780142,0.2389937106918239,0.8568155188810601,0.13722735179981266
hebrew,300,115,185,0.963855421686747,0.6956521739130435,0.8080808080808081,0.016216216216216217,0.30434782608695654,0.8225294678935328,0.16028202115158638
amharic,300,156,144,0.5825688073394495,0.8141025641025641,0.679144385026738,0.6319444444444444,0.1858974358974359,0.6919385854895839,0.40892094017094016
