threshold,precision,recall,f1,fpr,fnr,intervention_rate
0.1,0.1067,0.9813,0.1924,0.6984,0.0187,0.7206
0.15,0.1383,0.9549,0.2416,0.5057,0.0451,0.5409
0.2,0.1786,0.926,0.2994,0.362,0.074,0.4061
0.25,0.2225,0.8911,0.3561,0.2646,0.1089,0.3137
0.3,0.2677,0.8579,0.4081,0.1994,0.1421,0.251
0.35,0.312,0.823,0.4525,0.1542,0.177,0.2066
0.4,0.357,0.7906,0.4919,0.121,0.2094,0.1735
0.45,0.3995,0.7549,0.5225,0.0964,0.2451,0.148
0.5,0.4391,0.7081,0.542,0.0769,0.2919,0.1263
0.55,0.4847,0.6596,0.5588,0.0596,0.3404,0.1066
0.6,0.5383,0.6213,0.5768,0.0453,0.3787,0.0904
0.65,0.579,0.583,0.581,0.036,0.417,0.0789
0.7,0.6181,0.5345,0.5733,0.0281,0.4655,0.0677
0.75,0.6675,0.4783,0.5573,0.0203,0.5217,0.0561
0.8,0.7174,0.4255,0.5342,0.0142,0.5745,0.0465
0.85,0.7611,0.3634,0.4919,0.0097,0.6366,0.0374
0.9,0.8136,0.286,0.4232,0.0056,0.714,0.0275
