language,samples,accuracy,precision,recall,f1
Tatar,300,0.9933333333333333,0.9865771812080537,1.0,0.9932432432432432
French,300,0.99,0.9791666666666666,1.0,0.9894736842105263
Russian,300,0.99,1.0,0.9787234042553191,0.989247311827957
Ukrainian,300,0.9866666666666667,0.9928057553956835,0.9787234042553191,0.9857142857142858
English,300,0.9833333333333333,0.9857142857142858,0.9787234042553191,0.9822064056939501
German,300,0.98,1.0,0.96,0.9795918367346939
Hindi,300,0.97,0.987012987012987,0.9559748427672956,0.9712460063897763
Spanish,300,0.93,0.9928571428571429,0.8742138364779874,0.9297658862876255
Italian,300,0.92,0.9591836734693877,0.8867924528301887,0.9215686274509803
Japanese,300,0.91,0.9714285714285714,0.8553459119496856,0.9096989966555183
Arabic,300,0.8833333333333333,0.9921875,0.7888198757763976,0.8788927335640139
Hinglish,300,0.8766666666666667,0.8506493506493507,0.903448275862069,0.8762541806020067
Chinese,300,0.8566666666666667,0.9603174603174603,0.7610062893081762,0.8491228070175438
Hebrew,300,0.8733333333333333,0.963855421686747,0.6956521739130435,0.8080808080808081
Amharic,300,0.6,0.5825688073394495,0.8141025641025641,0.679144385026738
